Item:  | Desc:  | Class: android.view.View | Bounds: [640,79][993,165]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,165][993,253]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,253][993,341]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,341][993,429]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,429][993,517]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,517][993,605]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,605][993,693]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,693][993,781]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,781][993,869]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,869][993,957]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,261][1259,349]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,564][1138,643]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,699][1138,778]
Item:  | Desc:  | Class: android.view.View | Bounds: [1166,813][1254,901]
Item:  | Desc:  | Class: android.view.View | Bounds: [1631,813][1719,901]
Item:  | Desc:  | Class: android.view.View | Bounds: [1754,813][1842,901]
