Item:  | Desc:  | Class: android.view.View | Bounds: [640,79][993,129]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,129][993,217]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,217][993,305]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,305][993,393]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,393][993,481]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,481][993,569]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,569][993,657]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,657][993,745]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,745][993,833]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,833][993,921]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,921][993,957]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,261][1138,340]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,396][1138,475]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,531][1138,610]
