Item:  | Desc:  | Class: android.view.View | Bounds: [640,79][993,137]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,137][993,225]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,225][993,313]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,313][993,401]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,401][993,489]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,489][993,577]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,577][993,665]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,665][993,753]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,753][993,841]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,841][993,929]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,929][993,957]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,261][1138,340]
Item:  | Desc:  | Class: android.view.View | Bounds: [1166,266][1842,336]
Item:  | Desc:  | Class: android.view.View | Bounds: [1166,375][1503,463]
Item:  | Desc:  | Class: android.view.View | Bounds: [1504,375][1842,463]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,519][1138,598]
Item:  | Desc:  | Class: android.view.View | Bounds: [1166,524][1842,594]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,654][1138,733]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,854][1138,933]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,82][1138,161]
Item:  | Desc:  | Class: android.view.View | Bounds: [1166,87][1842,157]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,217][1138,296]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,417][1138,496]
Item:  | Desc:  | Class: android.view.View | Bounds: [1166,539][1503,627]
Item:  | Desc:  | Class: android.view.View | Bounds: [1504,539][1842,627]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,691][1138,770]
Item:  | Desc:  | Class: android.view.View | Bounds: [1166,813][1503,901]
Item:  | Desc:  | Class: android.view.View | Bounds: [1504,813][1842,901]
