Item:  | Desc:  | Class: android.view.View | Bounds: [640,79][993,165]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,165][993,253]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,253][993,341]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,341][993,429]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,429][993,517]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,517][993,605]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,605][993,693]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,693][993,781]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,781][993,869]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,869][993,957]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,261][1281,303]
Item:  | Desc:  | Class: android.widget.Button | Bounds: [1239,261][1282,304]
Item:  | Desc:  | Class: android.view.View | Bounds: [1670,362][1807,415]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,494][1138,573]
Item:  | Desc:  | Class: android.view.View | Bounds: [1723,812][1842,883]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,79][1281,113]
Item:  | Desc:  | Class: android.widget.Button | Bounds: [1239,79][1282,114]
Item:  | Desc:  | Class: android.view.View | Bounds: [1670,172][1807,225]
Item:  | Desc:  | Class: android.view.View | Bounds: [1050,304][1138,383]
Item:  | Desc:  | Class: android.view.View | Bounds: [1723,622][1842,693]
Item:  | Desc:  | Class: android.view.View | Bounds: [1744,830][1842,901]
