Item:  | Desc:  | Class: android.view.View | Bounds: [640,79][993,103]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,103][993,191]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,191][993,279]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,279][993,367]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,367][993,455]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,455][993,543]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,543][993,631]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,631][993,719]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,719][993,807]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,807][993,895]
Item:  | Desc:  | Class: android.view.View | Bounds: [640,895][993,957]
Item:  | Desc:  | Class: android.view.View | Bounds: [1085,479][1265,550]
Item:  | Desc:  | Class: android.view.View | Bounds: [1356,479][1536,550]
Item:  | Desc:  | Class: android.view.View | Bounds: [1627,479][1807,550]
Item:  | Desc:  | Class: android.view.View | Bounds: [1085,824][1265,895]
Item:  | Desc:  | Class: android.view.View | Bounds: [1356,824][1536,895]
Item:  | Desc:  | Class: android.view.View | Bounds: [1627,824][1807,895]
Item:  | Desc:  | Class: android.view.View | Bounds: [1085,288][1265,359]
Item:  | Desc:  | Class: android.view.View | Bounds: [1356,288][1536,359]
Item:  | Desc:  | Class: android.view.View | Bounds: [1627,288][1807,359]
Item:  | Desc:  | Class: android.view.View | Bounds: [1085,633][1265,704]
Item:  | Desc:  | Class: android.view.View | Bounds: [1356,633][1536,704]
Item:  | Desc:  | Class: android.view.View | Bounds: [1627,633][1807,704]
Item:  | Desc:  | Class: android.view.View | Bounds: [1709,795][1807,866]
