Text:  | Desc:  | Class: android.view.View | Bounds: [1183,300][1314,388]
Text:  | Desc:  | Class: android.view.View | Bounds: [1315,300][1446,388]
Text:  | Desc:  | Class: android.view.View | Bounds: [1447,300][1578,388]
Text:  | Desc:  | Class: android.view.View | Bounds: [1579,300][1710,388]
Text:  | Desc:  | Class: android.view.View | Bounds: [1711,300][1842,388]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,627][1138,706]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,770][1138,849]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,913][1138,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,118][1138,197]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,261][1138,340]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,465][1842,553]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,678][1435,779]
Text:  | Desc:  | Class: android.view.View | Bounds: [1456,678][1842,779]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,800][1435,901]
Text:  | Desc:  | Class: android.view.View | Bounds: [1456,800][1842,901]
