Text:  | Desc:  | Class: android.view.View | Bounds: [1050,373][1244,429]
Text:  | Desc:  | Class: android.view.View | Bounds: [1265,373][1361,429]
Text:  | Desc:  | Class: android.view.View | Bounds: [1382,373][1506,429]
Text:  | Desc:  | Class: android.view.View | Bounds: [1527,373][1641,429]
Text:  | Desc:  | Class: android.view.View | Bounds: [1662,373][1812,429]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,464][1146,520]
Text:  | Desc:  | Class: android.view.View | Bounds: [1167,464][1306,520]
Text:  | Desc:  | Class: android.view.View | Bounds: [1327,464][1405,520]
Text:  | Desc:  | Class: android.view.View | Bounds: [1426,464][1540,520]
Text:  | Desc:  | Class: android.view.View | Bounds: [1561,464][1701,520]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,555][1182,611]
Text:  | Desc:  | Class: android.view.View | Bounds: [1203,555][1353,611]
Text:  | Desc:  | Class: android.view.View | Bounds: [1374,555][1488,611]
Text:  | Desc:  | Class: android.view.View | Bounds: [1509,555][1623,611]
Text:  | Desc:  | Class: android.view.View | Bounds: [1644,555][1776,611]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,646][1190,702]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,956][1138,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,257][1138,336]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,379][1138,458]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,493][1138,572]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,811][1138,890]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,925][1138,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,99][1138,178]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,213][1138,292]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,327][1138,406]
Text:  | Desc:  | Class: android.view.View | Bounds: [1709,954][1842,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1709,560][1842,648]
Text:  | Desc:  | Class: android.view.View | Bounds: [1709,683][1842,771]
Text:  | Desc:  | Class: android.view.View | Bounds: [1709,810][1842,898]
