Text:  | Desc:  | Class: android.view.View | Bounds: [1050,261][1138,340]
Text:  | Desc:  | Class: android.view.View | Bounds: [1166,266][1842,336]
Text:  | Desc:  | Class: android.view.View | Bounds: [1166,375][1503,463]
Text:  | Desc:  | Class: android.view.View | Bounds: [1504,375][1842,463]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,519][1138,598]
Text:  | Desc:  | Class: android.view.View | Bounds: [1166,524][1842,594]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,654][1138,733]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,854][1138,933]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,82][1138,161]
Text:  | Desc:  | Class: android.view.View | Bounds: [1166,87][1842,157]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,217][1138,296]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,417][1138,496]
Text:  | Desc:  | Class: android.view.View | Bounds: [1166,539][1503,627]
Text:  | Desc:  | Class: android.view.View | Bounds: [1504,539][1842,627]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,691][1138,770]
Text:  | Desc:  | Class: android.view.View | Bounds: [1166,813][1503,901]
Text:  | Desc:  | Class: android.view.View | Bounds: [1504,813][1842,901]
