Text:  | Desc:  | Class: android.view.View | Bounds: [1050,261][1138,340]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,465][1138,553]
Text:  | Desc:  | Class: android.view.View | Bounds: [1631,465][1719,553]
Text:  | Desc:  | Class: android.view.View | Bounds: [1754,465][1842,553]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,678][1138,766]
Text:  | Desc:  | Class: android.view.View | Bounds: [1631,678][1719,766]
Text:  | Desc:  | Class: android.view.View | Bounds: [1754,678][1842,766]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,891][1138,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1631,891][1719,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1754,891][1842,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,184][1138,272]
Text:  | Desc:  | Class: android.view.View | Bounds: [1631,184][1719,272]
Text:  | Desc:  | Class: android.view.View | Bounds: [1754,184][1842,272]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,397][1138,485]
Text:  | Desc:  | Class: android.view.View | Bounds: [1631,397][1719,485]
Text:  | Desc:  | Class: android.view.View | Bounds: [1754,397][1842,485]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,610][1138,698]
Text:  | Desc:  | Class: android.view.View | Bounds: [1631,610][1719,698]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,823][1138,911]
Text:  | Desc:  | Class: android.view.View | Bounds: [1631,823][1719,911]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,122][1138,210]
Text:  | Desc:  | Class: android.view.View | Bounds: [1631,122][1719,210]
Text:  | Desc:  | Class: android.view.View | Bounds: [1249,399][1446,487]
Text:  | Desc:  | Class: android.view.View | Bounds: [1447,399][1644,487]
Text:  | Desc:  | Class: android.view.View | Bounds: [1645,399][1842,487]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,834][1248,922]
Text:  | Desc:  | Class: android.view.View | Bounds: [1249,834][1446,922]
Text:  | Desc:  | Class: android.view.View | Bounds: [1447,834][1644,922]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,90][1248,178]
Text:  | Desc:  | Class: android.view.View | Bounds: [1249,90][1446,178]
Text:  | Desc:  | Class: android.view.View | Bounds: [1447,90][1644,178]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,303][1248,391]
Text:  | Desc:  | Class: android.view.View | Bounds: [1447,303][1644,391]
Text:  | Desc:  | Class: android.view.View | Bounds: [1645,303][1842,391]
Text:  | Desc:  | Class: android.view.View | Bounds: [1249,303][1446,391]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,483][1222,571]
Text:  | Desc:  | Class: android.view.View | Bounds: [1315,696][1578,784]
Text:  | Desc:  | Class: android.view.View | Bounds: [1579,696][1842,784]
Text:  | Desc:  | Class: android.view.View | Bounds: [1183,909][1314,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1315,909][1446,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1447,909][1578,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1579,909][1710,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1711,909][1842,957]
