Text:  | Desc:  | Class: android.view.View | Bounds: [1050,300][1807,388]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,430][1807,518]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,757][1138,836]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,920][1800,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,79][1138,121]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,205][1800,293]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,481][1800,569]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,590][1800,678]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,866][1800,954]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,168][1800,256]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,277][1800,365]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,386][1800,474]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,662][1800,750]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,938][1800,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,237][1800,325]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,513][1800,601]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,789][1800,877]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,81][1800,169]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,357][1800,445]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,466][1800,554]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,742][1800,830]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,79][1800,140]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,328][1800,416]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,604][1800,692]
Text:  | Desc:  | Class: android.view.View | Bounds: [1092,880][1800,957]
