Text:  | Desc:  | Class: android.view.View | Bounds: [1050,261][1842,332]
Text:  | Desc:  | Class: android.view.View | Bounds: [1050,571][1138,650]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,775][1842,863]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,79][1842,162]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,287][1842,375]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,500][1842,588]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,713][1842,801]
Text:  | Desc:  | Class: android.view.View | Bounds: [1315,926][1578,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1579,926][1842,957]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,174][1842,262]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,387][1842,475]
Text:  | Desc:  | Class: android.view.View | Bounds: [1446,600][1842,688]
Text:  | Desc:  | Class: android.view.View | Bounds: [1315,813][1578,901]
Text:  | Desc:  | Class: android.view.View | Bounds: [1579,813][1842,901]
